batch_id	unit_id	description	link	connector	primary_band	scan_range_mhz	res_freq_mhz	swr_at_res	spot1_freq_mhz	spot1_swr	spot2_freq_mhz	spot2_swr	spot3_freq_mhz	spot3_swr	overall_status	notes
Seeed-114993587	Seeed-114993587-06	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	2.4GHz	2300-2600	2400.5	1.588	2400	1.591	2450	1.668	2484	1.651	Good	Worst in-band SWR: 1.67.
Seeed-114993587	Seeed-114993587-06	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	5GHz	4800-6000	5151.0	1.293	5150	1.293	5500	1.866	5850	1.591	Good	Worst in-band SWR: 1.933.
Seeed-114993587	Seeed-114993587-07	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	2.4GHz	2300-2600	2400.5	1.644	2400	1.638	2450	1.915	2484	1.892	Good	Worst in-band SWR: 1.927.
Seeed-114993587	Seeed-114993587-07	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	5GHz	4800-6000	5151.0	1.164	5150	1.164	5500	1.917	5850	1.539	Good	Worst in-band SWR: 1.99.
Seeed-114993587	Seeed-114993587-08	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	2.4GHz	2300-2600	2416.2	1.814	2400	1.869	2450	1.872	2484	1.88	Good	Worst in-band SWR: 1.888.
Seeed-114993587	Seeed-114993587-08	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	5GHz	4800-6000	5151.0	1.289	5150	1.289	5500	1.991	5850	1.623	Good	Worst in-band SWR: 2.095.
Seeed-114993587	Seeed-114993587-09	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	2.4GHz	2300-2600	2400.5	1.44	2400	1.435	2450	1.743	2484	1.83	Good	Worst in-band SWR: 1.853.
Seeed-114993587	Seeed-114993587-09	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	5GHz	4800-6000	5151.0	1.266	5150	1.266	5500	1.904	5850	1.536	Good	Worst in-band SWR: 1.981.
Seeed-114993587	Seeed-114993587-10	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	2.4GHz	2300-2600	2417.8	1.404	2400	1.49	2450	1.542	2484	1.613	Good	Worst in-band SWR: 1.69.
Seeed-114993587	Seeed-114993587-10	2.4G/5G External Antenna with RP-SMA Male Connector and 1.13 Coaxial Cable 130mm Set	https://www.seeedstudio.com/2-4G-5G-External-Antenna-with-RP-SMA-Male-Connector-and-1-13-Coaxial-Cable-130mm-Set-p-6316.html	RP-SMA Male	5GHz	4800-6000	5151.0	1.309	5150	1.309	5500	1.844	5850	1.562	Good	Worst in-band SWR: 1.932.
